epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,187.062,2.29017,3.37647,1.1859,0.46094,0.3822,0.32551,0.13898,1.95472,1.65629,1.13919,0.00027732,0.00027732,0.00027732
2,355.535,2.05209,2.10734,1.10236,0.36775,0.4506,0.37027,0.16392,1.8586,1.51984,1.09339,0.000500043,0.000500043,0.000500043
3,432.79,1.99942,1.78477,1.10179,0.51792,0.45761,0.38881,0.17425,1.86722,1.50749,1.12127,0.000667788,0.000667788,0.000667788
4,485.306,1.96874,1.56915,1.09694,0.53385,0.45079,0.41611,0.19873,1.7703,1.39388,1.09439,0.000585599,0.000585599,0.000585599
5,531.624,1.89381,1.48105,1.07132,0.43221,0.44792,0.40664,0.19588,1.77099,1.43227,1.08289,0.000503132,0.000503132,0.000503132
6,576.478,1.8649,1.39653,1.04803,0.44395,0.45735,0.46061,0.22917,1.72351,1.26861,1.06798,0.000420665,0.000420665,0.000420665
7,621.347,1.81682,1.34238,1.03647,0.47319,0.49454,0.45147,0.22552,1.70323,1.28065,1.05773,0.000338198,0.000338198,0.000338198
8,665.312,1.79327,1.30218,1.02542,0.47662,0.49929,0.47535,0.24781,1.68498,1.2909,1.03893,0.000255731,0.000255731,0.000255731
9,710.236,1.75434,1.25948,1.02166,0.48241,0.54087,0.48766,0.2553,1.68686,1.22551,1.0397,0.000173264,0.000173264,0.000173264
10,761.128,1.72333,1.21515,1.00396,0.48021,0.52668,0.49112,0.2624,1.65184,1.23485,1.02336,9.0797e-05,9.0797e-05,9.0797e-05
